Statement Analysis
Query,Full Table Scan,Executed (#),Errors (#),Warnings (#),Total Time,Max Time,Avg Time,Rows Sent (#),Avg. Rows Sent (#),Rows Scanned (#),Avg. Rows Scanned (#),Temp. Tables (#),Temp. Disk Tables (#),Rows Sorted (#),Sort Merge Passes (#),Digest
SHOW SESSION STATUS LIKE ?,*,2,0,0,2460.90,1292.90,1230.40,2,1.0,2,1.0,2,0,0,0,a6d9f012d38e1935c116c75354d30af403211c7d7a130d43e103838581b78717
SHOW SESSION VARIABLES LIKE ?,*,9,0,0,9545.80,2481.40,1060.60,9,1.0,9,1.0,9,0,0,0,6935f3922a42d8845977364d3d83d2ad4e11a53295dfeca9d0d08403bff33250
SHOW FULL TABLES FROM `library`,,1,0,0,993.50,993.50,993.50,0,0.0,2,2.0,0,0,0,0,b8fcf44afada637aaab8f569025dc8ae351bec243efc0e7cd3085ee4401517fa
SHOW PROCEDURE STATUS WHERE `Db` = ?,,1,0,0,944.20,944.20,944.20,0,0.0,2,2.0,0,0,0,0,cbc301da493d6b465340bd346910730ee04459290e7cb9d392d71de4e8fea677
"SELECT `id` , `title` , TYPES , `authors` , `abstract` , `languages` , `createdDate` , `coverURL` , `subjects` , `isbns` FROM `Book`",*,4,0,0,3713.60,999.80,928.40,399,100.0,399,100.0,0,0,0,0,7dc204919ad23a5e3e3de387e209efe9b732da9b510591949695aa3fd484175d
SHOW PLUGINS,*,1,0,0,821.00,821.00,821.00,48,48.0,48,48.0,1,1,0,0,8181054918915fc138d84fa7a6901fadcd699767bc70fb4090001619a68dd04b
SHOW GLOBAL STATUS,*,1,0,0,809.50,809.50,809.50,494,494.0,494,494.0,1,0,0,0,070e38632eb4444e50cdcbf0b17474ba801e203add89783a24584951442a2317
SHOW SCHEMAS,*,1,0,0,676.40,676.40,676.40,5,5.0,21,21.0,0,0,5,0,dbea8921b559b8cdd4976d57d70304daa8a242fbbfe6df94427006b54ead6b0f
SELECT COUNT ( * ) FROM SYSTEM_USER WHERE `user_type` = ?,*,2,0,0,1034.40,849.30,517.20,2,1.0,1,1.0,0,0,0,0,e8764107bf5300595fa2c95387768f381c3c5ba8ec5c75b68aa34af7c07a86ae
SHOW CHARSET,*,1,0,0,497.70,497.70,497.70,41,41.0,123,123.0,0,0,41,0,1856574834be14252580820873d7125ede9315d91bf93a4a4525fac56ee51b6f
"INSERT INTO `Book` ( `title` , TYPES , `authors` , `abstract` , `languages` , `createdDate` , `coverURL` , `subjects` , `isbns` ) VALUES (...)",,100,0,0,46665.60,7698.60,466.60,0,0.0,0,0.0,0,0,0,0,f6a7fbe1d54315944d3ba5b1750acb7173d956dcaa70f968058c2c4df19e9589
DELETE FROM `Book` WHERE `id` = ?,,1,0,0,465.00,465.00,465.00,0,0.0,1,1.0,0,0,0,0,69da4be4e436ad2e75801e62e8bcf05220f0ad76c699a9c3e71a27933973645f
"UPDATE `BorrowedList` SET `return_date` = ? , `is_returned` = TRUE WHERE `book_id` = ? AND `user_id` = ? AND `is_returned` = FALSE",,1,0,0,459.40,459.40,459.40,0,0.0,1,1.0,0,0,0,0,bee293b1f137d1289876c5f2dca2dc5be863578017bf56a6d749274dec8e9a7d
SHOW FUNCTION STATUS WHERE `Db` = ?,,1,0,0,427.30,427.30,427.30,0,0.0,2,2.0,0,0,0,0,1023723dae12e40234921687402e70f60d7a8b233a3da73a4e46b38e0feb23a9
SHOW CHARACTER SET WHERE CHARSET = ?,,4,0,0,1679.60,481.30,419.90,4,1.0,4,1.0,0,0,0,0,403e20a54ba36e995c8a9423fc5504db82d64dfefb3c9f6e0b4d3d66372ede9f
SELECT * FROM `book` WHERE `id` = ?,,3,0,0,1201.10,688.30,400.30,3,1.0,3,1.0,0,0,0,0,73c2e148bf2532d2952aea4e747e1be9fa2bc6bd8bfaf3ac8657f26286404833
"SELECT `b` . `title` , `bl` . `borrow_date` , `bl` . `due_date` , `bl` . `return_date` , `bl` . `is_returned` FROM `BorrowedList` `bl` JOIN `Book` `b` ON `bl` . `book_id` = `b` . `id` WHERE `bl` . `user_id` = ?",,1,0,0,393.70,393.70,393.70,1,1.0,2,2.0,0,0,0,0,68f5e93a4e00d7f3c059f3f078e967aaac374c52cdb00ef19994be2e0c08a4ff
"SELECT `id` , `title` , `authors` , TYPES , `abstract` , `languages` , `createdDate` , `coverURL` , `subjects` , `isbns` FROM `Book` WHERE `id` = ?",,2,0,0,731.80,399.20,365.90,2,1.0,2,1.0,0,0,0,0,8b9826f3f51f92557408bced060ce96cde99a2fcfcc841aa7ebcb2d4fae7110b
SELECT COUNT ( * ) FROM `Book`,,4,0,0,1436.40,941.00,359.10,4,1.0,0,0.0,0,0,0,0,847cc43792f2c71eccb866b37db4ce4d7889c8412afd30f9f82e0c59448192ef
"SELECT `Review` . `ratings` , `Review` . `content` , `User` . `first_name` , `User` . `last_name` FROM `Review` JOIN SYSTEM_USER ON `Review` . `userId` = `User` . `userId` WHERE `Review` . `bookId` = ?",,3,0,0,1010.70,472.60,336.90,1,0.0,2,1.0,0,0,0,0,8a2b8363c4861a226b96e5cd096a6a1e48572e97def2d70ef93abf8b24cee5bc
SELECT * FROM `Book` WHERE `id` = ?,,2,0,0,591.00,332.20,295.50,2,1.0,2,1.0,0,0,0,0,d25e7f875d012e7302033463081abbef7d17f76aa3464b06d7701a5337a707cd
"INSERT INTO SYSTEM_USER ( `first_name` , `last_name` , `email` , PASSWORD , `user_type` ) VALUES (...)",,1,0,0,283.00,283.00,283.00,0,0.0,0,0.0,0,0,0,0,bf0c42e5312d7bc513377b5731f8bb146d9cdcaaa832b4590f8f657be0917a5a
"SELECT `userId` , `email` , PASSWORD , `user_type` FROM SYSTEM_USER WHERE `email` = ?",,2,0,0,552.60,305.10,276.30,2,1.0,2,1.0,0,0,0,0,2436ef7ae6604de4024841ed259441a2c5a82a4fd5d5cebe2377ecd61a2a4df6
"UPDATE `Book` SET `title` = ? , TYPES = ? , `authors` = ? , `abstract` = ? , `languages` = ? , `createdDate` = ? , `coverURL` = ? , `subjects` = ? , `isbns` = ? WHERE `id` = ?",,1,0,0,268.70,268.70,268.70,0,0.0,1,1.0,0,0,0,0,393dd17e4800272af7e3a00c80c99e414bfd55c5f94be20306eecb9c1173546e
"INSERT INTO `Review` ( `userId` , `bookId` , `content` , `ratings` ) VALUES (...)",,1,0,0,265.20,265.20,265.20,0,0.0,0,0.0,0,0,0,0,19141f253f2796e1bdd1f5b87678c831109c7ec1b2f7c0aa494c0f94081a99a8
SELECT `userId` FROM SYSTEM_USER WHERE `email` = ?,,1,0,0,256.60,256.60,256.60,1,1.0,1,1.0,0,0,0,0,3dd01192b3f3ff3dd588f41037851cbeac54143ede828f3715ba06b6563de115
"INSERT INTO SYSTEM_USER ( `first_name` , `last_name` , `email` , PASSWORD , `fees_due` , `user_type` ) VALUES (...)",,1,0,0,250.00,250.00,250.00,0,0.0,0,0.0,0,0,0,0,d1c4f84e0921ad7e5677aecbdb5ddaa621c43f47e65c8ad6725847ea4b4fe10a
"INSERT INTO `BorrowedList` ( `user_id` , `book_id` , `borrow_date` , `due_date` ) VALUES (...)",,1,0,0,223.60,223.60,223.60,0,0.0,0,0.0,0,0,0,0,9d6cf41d83d06a9cc88b6645385ac4e7008d9a3ceda36ad17ee4e9e712aba05b
SHOW ENGINES,*,1,0,0,217.00,217.00,217.00,11,11.0,11,11.0,1,0,0,0,694ce669f6158c6e62190a80036873cd7a95b81566f32b7f979f9624b10f564a
SELECT * FROM `BorrowedList` WHERE `book_id` = ? AND `user_id` = ? AND `is_returned` = FALSE,,3,0,0,643.80,240.20,214.60,2,1.0,2,1.0,0,0,0,0,d864857fcf1b312a190ce935df787b6f4e5ac229c015aa556e858d4ce1a82405
SET NAMES ? COLLATE ?,,21,0,0,3555.00,932.90,169.20,0,0.0,0,0.0,0,0,0,0,52eaff6a7819ec096aa8c71501acd23ef138f2a775fc2827cc34ed7d77fa3e3d
SELECT * FROM `BorrowedList` WHERE `book_id` = ? AND `is_returned` = FALSE,,4,0,0,642.40,339.10,160.60,2,1.0,2,1.0,0,0,0,0,28404d1fadeb84cab9e13bfdb9d15d98e897c251059cd6dbebf5c167deb520b2
SELECT `sys_version` FROM `sys` . `version`,,2,0,0,313.60,180.80,156.80,2,1.0,4,2.0,2,0,0,0,d5483ab0e1343735b239e0f1cc57afef113d12d8617735410de021863b37725d
SET `autocommit` = ?,,6,0,0,662.30,188.30,110.30,0,0.0,0,0.0,0,0,0,0,158bfe3d4b4b0a372a4acdb38affe2cb4f6b3cb21a9af0ea9fad9a9a083ac18a
SELECT @@`performance_schema`,,2,0,0,218.90,117.40,109.40,2,1.0,2,1.0,0,0,0,0,48d06d86b583ece1b6a7ac4a0e7f258d15266bea0382ff8de286e65fbf284384
SET NAMES `utf8`,,2,0,2,179.00,120.60,89.50,0,0.0,0,0.0,0,0,0,0,13fcb9bac24560527e210ae59823ea393edcac9d7989014c15a54d4e64b2e3ea
SELECT `CONNECTION_ID` ( ),,2,0,0,168.30,130.30,84.10,2,1.0,2,1.0,0,0,0,0,e17c82a4f8c6d7083a2c7e3f35c96912c5410b431f6129935b61a9f686adaeab
SHOW GRANTS,,2,0,0,168.30,93.60,84.10,0,0.0,0,0.0,0,0,0,0,357c2f9945785534854aa7e387a6a8c95121e3b10a0e9ab1784bc0c45a34d47d
SET CHARACTER SET `utf8`,,2,0,0,149.00,112.90,74.50,0,0.0,0,0.0,0,0,0,0,7fefc009e426d24935eca18b34c6829c935bc1d0697fe927f91fdfac6fde18b4
SELECT CURRENT_USER ( ),,5,0,0,335.40,86.70,67.00,5,1.0,5,1.0,0,0,0,0,3eff569d77bf7e2ccb14bd593a390e6187f054f1435d6bed2f3b547f827e8992
SET NAMES ?,,4,0,0,240.20,89.80,60.00,0,0.0,0,0.0,0,0,0,0,f602ce2b604742e053aebf598ab8704c3b804def2946274dff866e2679d8f9fa
SET `autocommit` = ?,,21,0,0,931.20,65.40,44.30,0,0.0,0,0.0,0,0,0,0,158bfe3d4b4b0a372a4acdb38affe2cb4f6b3cb21a9af0ea9fad9a9a083ac18a
SET `SQL_SAFE_UPDATES` = ?,,1,0,0,27.50,27.50,27.50,0,0.0,0,0.0,0,0,0,0,05a9d2cc7f87b977af87566844ff7bee31fc9602525cd898eb23cb8a005097cd
